frame    mol0
  250      NA
  252   0.410
  254   0.439
  256   0.479
  258   0.404
  260   0.470
  262   0.468
  264   0.459
  266   0.446
  268   0.477
  270   0.464
  272   0.417
  274   0.405
  276   0.410
  278   0.419
  280   0.471
  282   0.466
  284   0.473
  286   0.492
  288   0.493
  290   0.423
  292   0.382
  294   0.382
  296   0.392
  298   0.397
  300   0.458
  302   0.408
  304   0.430
  306   0.481
  308   0.483
  310   0.430
  312   0.455
  314   0.459
  316   0.382
  318   0.480
  320   0.458
  322   0.481
  324   0.440
  326   0.409
  328   0.465
  330   0.397
  332   0.407
  334   0.481
  336   0.402
  338   0.427
  340   0.405
  342   0.515
  344   0.382
  346   0.436
  348   0.476
  350   0.418
  352   0.384
  354   0.416
  356   0.436
  358   0.419
  360   0.410
  362   0.393
  364   0.441
  366   0.378
  368   0.412
  370   0.393
  372   0.417
  374   0.392
  376   0.359
  378   0.491
  380   0.445
  382   0.405
  384   0.397
  386   0.461
  388   0.363
  390   0.360
  392   0.421
  394   0.400
  396   0.402
  398   0.407
  400   0.439
  402   0.466
  404   0.458
  406   0.479
  408   0.479
  410   0.487
  412   0.449
  414   0.468
  416   0.483
  418   0.507
  420   0.468
  422   0.432
  424   0.420
  426   0.414
  428   0.420
  430   0.419
  432   0.454
  434   0.429
  436   0.464
  438   0.399
  440   0.380
  442   0.420
  444   0.420
  446   0.415
  448   0.462
  450   0.476
  452   0.419
  454   0.377
  456   0.479
  458   0.440
  460   0.391
  462   0.437
  464   0.475
  466   0.429
  468   0.411
  470   0.375
  472   0.492
  474   0.403
  476   0.344
  478   0.425
  480   0.411
  482   0.343
  484   0.460
  486   0.580
  488   0.449
  490   0.432
  492   0.386
  494   0.402
  496   0.512
  498   0.410
  500   0.422

