frame    mol0
  250      NA
  252   0.372
  254   0.404
  256   0.363
  258   0.432
  260   0.392
  262   0.411
  264   0.416
  266   0.455
  268   0.420
  270   0.384
  272   0.413
  274   0.400
  276   0.441
  278   0.444
  280   0.420
  282   0.390
  284   0.407
  286   0.456
  288   0.457
  290   0.384
  292   0.399
  294   0.511
  296   0.406
  298   0.487
  300   0.381
  302   0.442
  304   0.446
  306   0.425
  308   0.487
  310   0.466
  312   0.414
  314   0.438
  316   0.419
  318   0.439
  320   0.442
  322   0.412
  324   0.369
  326   0.417
  328   0.557
  330   0.433
  332   0.445
  334   0.403
  336   0.403
  338   0.394
  340   0.419
  342   0.424
  344   0.431
  346   0.478
  348   0.401
  350   0.393
  352   0.503
  354   0.387
  356   0.411
  358   0.421
  360   0.509
  362   0.390
  364   0.408
  366   0.369
  368   0.533
  370   0.406
  372   0.404
  374   0.456
  376   0.541
  378   0.445
  380   0.374
  382   0.400
  384   0.477
  386   0.491
  388   0.396
  390   0.389
  392   0.513
  394   0.364
  396   0.436
  398   0.444
  400   0.423
  402   0.495
  404   0.465
  406   0.398
  408   0.483
  410   0.374
  412   0.384
  414   0.388
  416   0.408
  418   0.456
  420   0.462
  422   0.419
  424   0.454
  426   0.418
  428   0.416
  430   0.397
  432   0.439
  434   0.412
  436   0.400
  438   0.497
  440   0.384
  442   0.374
  444   0.380
  446   0.437
  448   0.382
  450   0.509
  452   0.431
  454   0.409
  456   0.512
  458   0.388
  460   0.387
  462   0.432
  464   0.456
  466   0.467
  468   0.484
  470   0.402
  472   0.396
  474   0.401
  476   0.385
  478   0.397
  480   0.449
  482   0.415
  484   0.439
  486   0.407
  488   0.443
  490   0.476
  492   0.391
  494   0.493
  496   0.522
  498   0.439
  500   0.458

