Creating frame-specific output for files:
run-umbrella.sh
     frame      dist    d_dist
         0     2.594        NA
        21     2.695     0.101
        32     2.803     0.108
        38     2.884     0.081
        42     3.000     0.116
        45     3.096     0.096
        61     3.220     0.124
        72     3.314     0.094
        73     3.403     0.089
        85     3.502     0.099
        89     3.606     0.104
       102     3.708     0.102
       103     3.805     0.097
       116     3.905     0.100
       126     4.013     0.108
       130     4.110     0.097
       153     4.215     0.105
       155     4.350     0.135
       157     4.446     0.096
       172     4.539     0.093
       176     4.619     0.080
       188     4.717     0.098
       191     4.810     0.093
       201     4.934     0.124
       216     5.035     0.101
       219     5.165     0.130
       226     5.266     0.101
       233     5.360     0.094
       242     5.453     0.093
       253     5.557     0.104
       254     5.662     0.105
       273     5.793     0.131
       274     5.892     0.099
       280     5.993     0.101
       291     6.108     0.115
       300     6.211     0.103
       307     6.302     0.091
       309     6.404     0.102
       323     6.506     0.102
       329     6.617     0.111
       334     6.745     0.128
       345     6.843     0.098
       346     6.951     0.108
       360     7.057     0.106
       380     7.156     0.099
       384     7.259     0.103
       388     7.345     0.086
       391     7.427     0.082
       408     7.521     0.094
       415     7.623     0.102
       418     7.717     0.094
       424     7.812     0.095
       431     7.899     0.087
       435     8.002     0.103
       448     8.091     0.089
       450     8.185     0.094
       466     8.286     0.101
       469     8.386     0.100
       474     8.459     0.073
       477     8.530     0.071
       478     8.632     0.102
       479     8.637     0.005

